"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.125b.2",-2.3221614936817,7.25999186961841,-7.258953756052,1.78729155473413e-12,2.19788556055143e-11,17.5591779240078
"hsa.mir.182",2.40256267276355,13.944584320515,7.23665396695789,2.0702806696634e-12,2.47888869657066e-11,17.3664973826374
"hsa.mir.671",1.41036530879233,3.21163542003212,7.19640900759119,2.69685478459007e-12,3.06767231747121e-11,17.3593174641028
"hsa.mir.26a.1",-1.0398451886701,9.70026191413766,-7.19830497940077,2.66353700159452e-12,3.06767231747121e-11,17.1411630316581
"hsa.mir.20a",1.74229499724965,8.5776323585766,7.1380672397244,3.94877480783045e-12,4.38217692088501e-11,16.8360459106916
"hsa.mir.141",3.11375864752166,10.5250746661521,7.10218959524026,4.98649955269452e-12,5.40204118208573e-11,16.5949117379564
"hsa.mir.1262",-1.90815974175459,-0.450103463156261,-7.00990178740844,9.05051602356206e-12,9.57670881562962e-11,16.2005702117056
"hsa.mir.425",1.59424013685046,8.39096579730213,6.99455845229333,9.98764910654587e-12,1.0328137144269e-10,15.9306858977752
"hsa.mir.337",-1.86562941222273,4.59632251170075,-6.95245790945356,1.3076965898108e-11,1.32222655191981e-10,15.6809877035018
"hsa.mir.23b",-1.26119091876921,10.0614995611515,-6.90875851045183,1.72752460903067e-11,1.70874716762817e-10,15.3005186084682
"hsa.mir.654",-2.0206922905185,4.47456749645722,-6.89111749283074,1.93228829569759e-11,1.87061952030299e-10,15.2993833795873
"hsa.mir.100",-2.48309586194353,11.0568272604707,-6.84625698924259,2.56655955136579e-11,2.43288457473216e-10,14.8691691439536
"hsa.mir.585",-2.09623424762635,-0.757750789056005,-6.73889313064479,5.03356014235521e-11,4.67402013218698e-10,14.5407872426544
"hsa.mir.299",-1.73164136096346,1.75506937396602,-6.72723703242541,5.41275922484395e-11,4.82903028883136e-10,14.3844445883016
"hsa.mir.411",-1.79506925185362,2.75889880574322,-6.73228362557226,5.24525883049924e-11,4.77318553575431e-10,14.3761657651049
"hsa.mir.495",-1.56464853092749,2.80057125187632,-6.67171549100004,7.63993012383993e-11,6.68493885835994e-10,14.0173289686917
"hsa.mir.301a",1.85349486887862,4.00427055834902,6.57201288755302,1.41071910003233e-10,1.18866146391613e-09,13.4981447656112
"hsa.mir.574",-1.09474801911207,6.35249807335567,-6.58791486419599,1.27987702916303e-10,1.09876235522486e-09,13.4327333871244
"hsa.mir.140",-1.01669614972729,9.72649230683607,-6.50314812970393,2.14577249825459e-10,1.77513906673788e-09,12.8528510282048
"hsa.mir.33a",2.01984429612755,4.42026278502702,6.42021775708792,3.53944831539457e-10,2.87580175625809e-09,12.5942800915999
"hsa.mir.381",-1.48157828156256,5.38822255116616,-6.38898403800655,4.26803836495592e-10,3.40694290535955e-09,12.273311119559
"hsa.mir.185",1.0009904358532,6.42466359391168,6.26874656788143,8.71477146260989e-10,6.83658795773707e-09,11.6100011242509
"hsa.mir.345",2.00808819062667,4.00147171189751,6.18289733275111,1.44132971869064e-09,1.11153393560041e-08,11.2500151446671
"hsa.mir.151b",-1.62534642971196,-0.0680528140320592,-6.17321074104875,1.52499387436942e-09,1.15645368806348e-08,11.2238861996934
"hsa.mir.497",-1.32532943957317,3.49156420426094,-6.1542006635324,1.70321849884054e-09,1.24994260802007e-08,10.983191245984
"hsa.mir.132",-1.16983343434606,6.47031839032864,-6.16733588535818,1.57802987672257e-09,1.17705507198159e-08,10.9829867505278
"hsa.mir.143",-1.98756816328393,16.2237797733092,-6.10274242946665,2.29412288513962e-09,1.65686652815639e-08,10.3806327242791
"hsa.mir.301b",2.45480089762528,1.32003403109845,5.99654017166987,4.21530504738949e-09,2.90600575236699e-08,10.3144436855891
"hsa.mir.19b.2",1.10876329986596,6.32721786369481,6.02591961552088,3.56540307651417e-09,2.53477874970929e-08,10.248598595861
"hsa.mir.370",-1.47985587177008,2.72088196357797,-5.99020086877396,4.37001434430904e-09,2.96769630844868e-08,10.0910222023509
"hsa.mir.432",-1.65226969320028,2.55082411348538,-5.98292074548737,4.55453012607542e-09,3.04751648141811e-08,10.0506622216684
"hsa.mir.365b",-1.28392560072037,6.05707696991157,-5.99927752190018,4.15016616394705e-09,2.90511631476294e-08,10.0505048690946
"hsa.mir.379",-1.72161208969573,9.19316118072616,-5.95605642567019,5.30357821106218e-09,3.49728708120767e-08,9.72802153312096
"hsa.mir.503",1.98006498433582,2.94726932232729,5.85651605824113,9.27900589187201e-09,6.03135382971681e-08,9.49458353611004
"hsa.mir.758",-1.69020137172341,3.91649795889202,-5.85026496325679,9.60832613372242e-09,6.1025970591278e-08,9.28203333346611
"hsa.mir.365a",-1.25895586841486,6.09713031556907,-5.84936147496019,9.65685688477366e-09,6.1025970591278e-08,9.23092758592414
"hsa.mir.129.2",-2.07520873321183,0.108131308003721,-5.81370072019537,1.17755568361465e-08,7.24037616276578e-08,9.2240708797955
