"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.129.1",-5.54765872808521,0.160911288128619,-12.7508809181371,3.57755199022666e-32,4.77006932030221e-31,62.2809363105273
"hsa.mir.129.2",-5.43651639310307,0.307963613902434,-12.7203484420474,4.78382683019451e-32,6.19083472142819e-31,61.9947192952199
"hsa.mir.454",3.66458764095994,2.92888215453017,12.6706827011834,7.66893089949902e-32,9.64094170222733e-31,61.442609279375
"hsa.mir.193b",-3.40133477591406,4.92462988357497,-12.3096232315162,2.30692733688421e-30,2.81957785619182e-29,58.1672502262117
"hsa.mir.29b.1",4.94927890324386,8.47925593383828,12.1542078107574,9.83610677337909e-30,1.1696991838613e-28,56.7068731399242
"hsa.mir.181a.1",-3.12694807599802,8.73382467278218,-12.0757219463353,2.03858948560654e-29,2.36047203596547e-28,55.9950715596869
"hsa.mir.671",-2.77000170746555,2.7359963796882,-12.0580824193079,2.40059949434144e-29,2.70836866028266e-28,55.8607865578058
"hsa.mir.708",5.26843296938586,5.55293504918494,12.0342779357157,2.99251238212279e-29,3.29176362033507e-28,55.5870498305052
"hsa.mir.1224",-5.65504377126107,-0.727655283369729,-11.9616453095818,5.85442117560963e-29,6.2827934567518e-28,54.9773703993016
"hsa.mir.3615",-3.72849586734324,2.05201350581255,-11.91241221225,9.21548012341396e-29,9.65431251024319e-28,54.5347515384812
"hsa.mir.590",5.1052830252801,4.38922595095739,11.6725729822472,8.28413384821005e-28,8.47678812374982e-27,52.3280667301448
"hsa.mir.582",5.42721657884051,8.31566705279559,11.6272234195108,1.25146853404813e-27,1.25146853404813e-26,51.9316619995109
"hsa.mir.424",5.5121207512105,6.79442423024471,11.5070894933057,3.71740095634404e-27,3.63479204620306e-26,50.8554688356726
"hsa.mir.335",4.86782624590818,7.54097362679421,11.3276964988164,1.86760158323433e-26,1.78640151439806e-25,49.2755412840408
"hsa.mir.19a",6.35038930000736,5.40278245961222,11.3083627824107,2.22062158622464e-26,2.0788797828486e-25,49.1019340084667
"hsa.mir.1296",-3.59025747849969,2.07211706080888,-11.2858084462697,2.71706375818309e-26,2.4906417783345e-25,48.9292255234313
"hsa.mir.642a",-4.90264560802832,1.50993427093702,-11.2115979247471,5.26893884589504e-26,4.73129202488534e-25,48.2716074513286
"hsa.mir.99b",-3.14691175848693,13.7044522776803,-10.9766081560658,4.22084237276092e-25,3.71434128802961e-24,46.1489038385035
"hsa.mir.15a",3.56418508452016,6.80782143575091,10.9676071399247,4.56873412036991e-25,3.94165296659365e-24,46.1448100082074
"hsa.mir.126",3.47889104795159,10.9436799230437,10.942603011967,5.69196394307684e-25,4.81627718260348e-24,45.9118816456042
"hsa.mir.148a",3.40042214914616,15.7975779146819,10.9350889099141,6.08032203589095e-25,5.0478145203623e-24,45.8059430375595
"hsa.mir.24.2",1.90017373725287,9.90940769106067,10.902015329702,8.12753489043804e-25,6.62243583665322e-24,45.5550826334076
"hsa.mir.1180",-4.24474903398252,3.08539174539048,-10.8933282886181,8.77052494682975e-25,7.0164199574638e-24,45.4884870755792
"hsa.mir.20a",4.79976101753115,8.8010812303735,10.8060729350127,1.88064957539784e-24,1.45172949679833e-23,44.7620627772624
"hsa.mir.181a.2",-2.52436362770129,9.81728007202692,-10.8098658114594,1.81944848364455e-24,1.42956666572072e-23,44.7240822170743
"hsa.mir.92b",-3.38918728516544,5.82432665236567,-10.7294693673457,3.6632239615519e-24,2.77899748807386e-23,44.0581757131809
"hsa.mir.378a",-2.80793274568084,10.3285477017928,-10.5847967433414,1.28053649124811e-23,9.54976366354525e-23,42.7935928913871
"hsa.mir.15b",-2.46078196073532,7.65472405859906,-10.4666327051169,3.53229045741584e-23,2.59034633543828e-22,41.8128513981977
"hsa.mir.32",3.60019250317718,4.94664606552782,10.3646974260554,8.42941962120114e-23,6.08023710381722e-22,41.0209108003464
"hsa.mir.452",4.77082820187611,6.57044475344262,10.3477345889593,9.73730273024744e-23,6.91034387307883e-22,40.8797550790016
"hsa.mir.193a",-3.45269882986486,6.96474060476141,-10.3362899850656,1.07316468520685e-22,7.49511843636528e-22,40.7132161072866
"hsa.mir.24.1",1.78910957946138,9.88854557820028,10.2855845754689,1.64972907583612e-22,1.13418873963733e-21,40.3130235175464
"hsa.mir.16.1",4.06344298521425,8.1698615236639,10.2476107222538,2.2745732984446e-22,1.52113587496488e-21,40.0509840731422
"hsa.mir.96",4.42920593875037,4.01381815989285,10.2402030449817,2.42143694307727e-22,1.59019739545373e-21,39.9868410920061
"hsa.mir.150",-4.17118506369897,8.37311101100543,-10.2472402340585,2.28170381244731e-22,1.52113587496488e-21,39.9523818394212
"hsa.mir.145",-3.94991277675095,11.0555171227477,-10.2360485628655,2.50788463404013e-22,1.62274888084949e-21,39.8473749136495
"hsa.mir.142",6.35025356990757,10.9365344226767,10.2184358977454,2.90971506988084e-22,1.85547047934431e-21,39.8038085657481
"hsa.mir.16.2",3.97116029026702,8.1999939933404,10.2061714975287,3.22666401381844e-22,2.02818880868588e-21,39.706817453655
"hsa.mir.369",3.40060011005964,3.43132873956699,10.1998292355379,3.40377944795407e-22,2.10938444661942e-21,39.6531450221618
"hsa.mir.4677",3.12847415121355,2.66090585378435,10.1837494076836,3.89727352931689e-22,2.38166715680477e-21,39.5204163099871
"hsa.mir.379",3.80015300264605,9.35365541399965,10.1576566636545,4.85347211999316e-22,2.92538045588629e-21,39.2855641143491
"hsa.mir.3127",-3.55316147031426,2.60197402458799,-10.0466966267137,1.22908464249926e-21,7.30807084729287e-21,38.3634941111686
"hsa.mir.152",3.54838830159241,7.4570206813152,9.99266902630958,1.92778891871377e-21,1.13096949897874e-20,37.9537075715181
"hsa.mir.2110",-3.26650681396222,1.13368565107787,-9.97964028636394,2.1483233348338e-21,1.24376614121957e-20,37.84467737293
"hsa.mir.450b",3.85730509355699,2.91679909195379,9.92495277693837,3.38162774818524e-21,1.93235871324871e-20,37.4039633034655
