"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"hsa.mir.27b",-1.35242793205822,10.6499653485861,-18.3397566390205,4.50260402568093e-59,1.67046609352762e-56,123.574812375798
"hsa.mir.23c",-2.81061440206577,-1.04283265495999,-18.1005938779186,6.93053241120641e-58,1.28561376227879e-55,120.949004083893
"hsa.mir.93",1.65207091343063,11.4206240692179,16.9191514159764,4.4020508972333e-52,5.44386960957852e-50,107.550637031071
"hsa.mir.182",1.89156244303409,13.7211903577534,15.7515621634894,1.80013356524889e-46,1.66962388176834e-44,94.6673308258106
"hsa.mir.23b",-1.20534361843347,10.5265472275555,-15.1826264350885,8.63050113712249e-44,6.40383184374489e-42,88.5237158540903
"hsa.mir.200c",1.4148306233444,13.2959639357529,14.9728231044826,8.21536348641137e-43,5.07983308909769e-41,86.2786658385506
"hsa.mir.96",2.23192755185055,4.36262575665855,14.8533418514701,2.9471339608531e-42,1.56198099925214e-40,85.1941854835889
"hsa.mir.375",2.36431957340446,16.2549740424122,14.7938493146731,5.55822122983354e-42,2.5776250953353e-40,84.3744885724606
"hsa.mir.183",1.91672857938913,11.9399237661447,14.5473392664456,7.61315128587626e-41,3.13831014117788e-39,81.7834542902017
"hsa.mir.221",-1.58297004400503,7.47411971875639,-13.2548689645001,4.95925321109369e-35,1.83988294131576e-33,68.4954222349951
"hsa.mir.92a.1",1.01988423445825,11.8076505386697,13.0016786157075,6.35297393712983e-34,2.14268484606833e-32,65.9241880504808
"hsa.mir.222",-1.35382386894456,5.45645077630468,-12.5818009725535,4.11951796085448e-32,1.27361763623084e-30,61.8674269671204
"hsa.mir.423",0.873036016726996,6.31291781805104,12.3930390419539,2.62355786985078e-31,7.48723053626645e-30,60.0561947560511
"hsa.mir.708",1.4833057595417,4.5293765216079,12.3658756096649,3.42013575865597e-31,9.02205405020659e-30,59.8653608581903
"hsa.mir.187",-2.74883260568305,2.0528997194766,-12.3592705287045,3.64773074806196e-31,9.02205405020659e-30,59.7711701504907
"hsa.mir.92a.2",0.920835135616865,11.4611175880822,12.1738514544153,2.20826713894206e-30,5.1204194284219e-29,57.8242426706035
"hsa.mir.23a",-0.932331104786189,10.3525132354524,-11.9717019685849,1.54525316717352e-29,3.37228779424339e-28,55.887879035149
"hsa.mir.342",0.874407633274586,6.24333167959267,11.9550674373338,1.81203978690592e-29,3.53824611022156e-28,55.8540432790588
"hsa.mir.22",-0.918051567114221,15.5713033176015,-11.9580746911217,1.76062702694064e-29,3.53824611022156e-28,55.75306025928
"hsa.mir.133b",-2.03997293582169,3.91147652859488,-11.9006736405927,3.04757779960097e-29,5.38405411262838e-28,55.3377733995243
"hsa.mir.25",0.853075247117802,12.4836261481722,11.9046061497024,2.93529023936895e-29,5.38405411262838e-28,55.2467717742567
"hsa.mir.20a",1.40920161839298,7.6398053358423,11.8359880711952,5.64527266397003e-29,9.51998253787673e-28,54.6983009257028
"hsa.mir.184",-2.52336492292017,-0.0701828694850189,-11.7681809239849,1.07503057337306e-28,1.73407105531046e-27,54.2386447092598
"hsa.mir.490",-2.59739046267825,-1.19539374692988,-11.722366014017,1.65918515385097e-28,2.56482371699463e-27,53.8704936432687
"hsa.mir.148a",1.12516059718179,15.6233541461507,11.5790870760457,6.40487441819989e-28,9.50483363660864e-27,52.1830604815517
"hsa.mir.153.2",2.38858406116097,4.49209657951668,11.5266638920084,1.04729548787429e-27,1.49441010000523e-26,51.9464210325747
"hsa.mir.141",1.22248533490976,10.2052190370019,11.2491496571129,1.38300942803316e-26,1.90035739926038e-25,49.1714924888627
